frame,time,state,right_THUMB_dist,right_INDEX_dist,right_MIDDLE_dist,right_RING_dist,right_PINKY_dist,right_THUMB_angle,right_INDEX_angle,right_MIDDLE_angle,right_RING_angle,right_PINKY_angle
164,19:50:50,1,1.3640726169153643,0.8559888856437119,0.7189706410123414,0.6283133258103593,0.6097139250540964,127.448360931646,36.82791524404095,37.10922384087357,43.96296956695024,56.70938141368264
165,19:50:50,1,1.3510362495532229,0.8884625838578077,0.749036540021668,0.6476318922335554,0.6216171591275224,127.46146296973588,35.61212140506608,34.14633424819951,44.51345166929393,61.13727247633357
166,19:50:50,1,1.3379409860853455,0.8705348740426475,0.7412137211834642,0.6437488407185149,0.6215178491738246,128.09308766452125,38.05577692726098,37.46377727536202,46.83365504183127,62.47210329054116
167,19:50:51,1,1.3923118814719468,1.0073650498209556,0.7404808983177115,0.6434743391400755,0.6333207213191213,132.68071725879858,42.06645272739332,35.26806219578506,44.15473725427668,61.14231917821724
168,19:50:51,1,1.3666963423369307,0.9577109595651326,0.7403365494354853,0.6424699688140176,0.6218036276608687,131.4072185101324,39.31455217107547,36.27179173084679,45.30264398910055,62.971966221255634
169,19:50:51,1,1.300556496133341,0.8414830662237555,0.7107602409103515,0.6121822163252595,0.6129602602593157,135.31799423431602,43.99622951209528,45.68055566101873,54.84439213388389,65.0001240208859
170,19:50:51,1,1.2759278238427203,0.8139557904161051,0.6994032213208488,0.607919381964458,0.6070738258560671,134.93447485857124,46.39759895058153,47.03956338314697,58.12551724186402,68.00787554580037
171,19:50:51,1,1.3873954114503826,0.8859738170817999,0.7431662759597254,0.6470320834205558,0.6157471451749519,133.21193277250566,32.79762334403656,31.37027996593046,41.47131840698602,60.05318691123414
172,19:50:51,1,1.3546100211147136,0.8688876507170912,0.7160612795929686,0.6008033952569696,0.5937215824372307,126.27684704592448,39.34121920079959,40.846972222918936,50.23738124608479,65.20812919539705
173,19:50:51,1,1.3578820063889825,0.8725273253847128,0.721037228743298,0.6062533683234257,0.5911267812160607,126.8653663781956,37.25247619116925,39.5609018863848,48.95606442625467,65.369555669105
174,19:50:51,1,1.4081736839728642,0.9133330542669722,0.7559490704269105,0.6455029661516017,0.6270698568637709,132.41732849552804,35.02505652110291,34.5665660543565,43.2346992622414,59.51942688410811
175,19:50:51,1,1.4012466924880589,0.8989215918916118,0.7541938732259924,0.6448501627341443,0.6167921157129581,133.13014735742956,36.28061718970957,35.43515989877951,43.9152765021698,59.9255412122331
176,19:50:51,1,1.393179822674686,0.8904947457075457,0.7640997552120468,0.6575883484270988,0.632833649385173,128.83212645379265,33.254316156585546,34.37874128641866,44.20138433445274,61.30210763798649
177,19:50:51,1,1.4132646045206378,0.8777904918965589,0.7113696589186016,0.6151767798037967,0.6101546966994217,126.48171410157876,33.093325530380575,32.92411303640902,41.34518877779448,55.92375119279612
178,19:50:51,1,1.362141749556908,0.8711829945500441,0.7292197544672523,0.6213643453992539,0.6015696711027453,130.24141763645758,36.338972299933786,38.206280364535,46.14856561459431,59.67998965459814
179,19:50:51,1,1.3644367138175448,0.8753085280454086,0.7332694107978208,0.6232828444876138,0.602340336755022,130.23633159107564,35.56540374542758,36.73081531066776,45.46235683589279,60.00556693436293
